Kennzeichen;Identnummer;Bankleitzahl;Institutsart;Sektor;Firmenbuchnummer;Bankenname;Straße;PLZ;Ort;Postadresse / Straße;Postadresse / PLZ;Postadresse / Ort;Postfach;Bundesland;Telefon;Fax;E-Mail;SWIFT-Code;Homepage;Gründungsdatum;LEI
;54801;15011;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15012;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15013;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15021;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15022;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15023;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15024;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15025;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15030;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15031;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15040;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15041;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15042;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15060;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15061;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15062;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15080;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15081;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15090;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15091;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15092;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15093;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15094;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15095;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15096;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15097;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15110;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15120;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15121;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15122;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15123;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15130;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15131;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15132;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15133;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15134;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15135;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15150;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15151;;Aktienbanken;79063w;Oberbank AG;Untere Donaulände 28;4020;Linz;;4010;Linz/Donau;60;Oberösterreich;0732/7802;;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
Hauptanstalt;57193;16000;KI;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16300;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16310;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16320;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16330;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16340;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16350;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16360;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16370;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16380;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16390;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16400;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16410;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16420;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16430;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16440;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16450;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
;57193;16460;;Aktienbanken;32942w;BTV Vier Länder Bank AG;Stadtforum 1;6020;Innsbruck;Stadtforum 1;6020;Innsbruck;;Tirol;0505333-0;;info@btv.at;BTVAAT22XXX;www.btv.at;08.04.1904;5299003ATVTQVPTW4735
Hauptanstalt;57177;17000;KI;Aktienbanken;91810s;BKS Bank AG;St. Veiter Ring 43;9020;Klagenfurt;;;;;Kärnten;0463/58580;;bks@bks.at;BFKKAT2KXXX;www.bks.at;25.02.1922;529900B9P29R8W03IX88
;57177;17100;;Aktienbanken;91810s;BKS Bank AG;St. Veiter Ring 43;9020;Klagenfurt;;;;;Kärnten;0463/58580;;bks@bks.at;BFKKAT2KXXX;www.bks.at;25.02.1922;529900B9P29R8W03IX88
;57177;17200;;Aktienbanken;91810s;BKS Bank AG;St. Veiter Ring 43;9020;Klagenfurt;;;;;Kärnten;0463/58580;;bks@bks.at;BFKKAT2KXXX;www.bks.at;25.02.1922;529900B9P29R8W03IX88
;57177;17300;;Aktienbanken;91810s;BKS Bank AG;St. Veiter Ring 43;9020;Klagenfurt;;;;;Kärnten;0463/58580;;bks@bks.at;BFKKAT2KXXX;www.bks.at;25.02.1922;529900B9P29R8W03IX88
;57177;17400;;Aktienbanken;91810s;BKS Bank AG;St. Veiter Ring 43;9020;Klagenfurt;;;;;Kärnten;0463/58580;;bks@bks.at;BFKKAT2KXXX;www.bks.at;25.02.1922;529900B9P29R8W03IX88
;57177;17500;;Aktienbanken;91810s;BKS Bank AG;St. Veiter Ring 43;9020;Klagenfurt;;;;;Kärnten;0463/58580;;bks@bks.at;BFKKAT2KXXX;www.bks.at;25.02.1922;529900B9P29R8W03IX88
Filiale;20315910;18100;ZW;§ 9 Institute;468119k;BNP Paribas SA Niederlassung Österreich;Vordere Zollamtsstraße 13;1030;Wien;;;;;Wien;0043 1 81104 0;;CIB_AT_FINANCE@bnpparibas.com;GEBAATWWXXX;www.bnpparibas.at;;
Hauptanstalt;5417775;18120;KI;Sonderbanken;218809d;A1 Bank AG;Lassallestraße 9;1020;Wien;Lassallestraße 9;1020;Wien;;Wien;4314272722704;;finance@a1.bank;PABXATW1XXX;www.a1.bank;16.01.2002;529900C567TZ45W7GV69
Hauptanstalt;92061;18130;KI;Volksbanken;129209p;Österreichische Ärzte- und Apothekerbank AG;Spitalgasse 31;1090;Wien;;1016;Wien;31;Wien;+43 (0)504243;;info@apobank.at;BWFBATW1XXX;www.apobank.at;28.10.1914;529900X1F1MUXHHDIV43
Filiale;18982565;18140;ZW;§ 9 Institute;443741k;Citibank Europe plc, Austria Branch;Kärntner Ring 11-13/7/2/3;1010;Wien;;;;;Wien;01/717170;;office.at@citi.com;CITIATWXXXX;https://www.citigroup.com/global/about-us/global-presence/austria;;
Filiale;4022858;18150;ZW;§ 9 Institute;173546s;Société Générale Zweigniederlassung Wien;Prinz-Eugen-Straße 8-10/5/Top 11;1040;Wien;;1041;Wien;1;Wien;+43 (0) 1 506 95 0;;reinhard.daubock@sgcib.com;SGABATWWXXX;www.sgcib.com;20.08.1998;
;5171741;18160;;Volksbanken;211524s;VOLKSBANK WIEN AG;Dietrichgasse 25;1030;Wien;;;;;Wien;01/40137;;mail@volksbankwien.at;VBOEATWWXXX;www.volksbankwien.at;19.06.2001;529900D4CD6DIB3CI904
Hauptanstalt;189448;18170;;;128283b;KA Finanz AG i.A.;Taborstraße 1-3;1020;Wien;;;;;Wien;;;;;;03.10.1958;6I8315LJQXS02XDL2V84
;53767;18190;;Aktienbanken;205340x;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft;Wiedner Gürtel 11;1100;Wien;;;;;Wien;59905;;office@bawaggroup.com;BAWAATWWXXX;https://www.bawag.at/;01.01.1922;529900ICA8XQYGIKR372
Hauptanstalt;5104505;18400;KI;Aktienbanken;209697d;Generali Bank AG;Landskrongasse 1-3;1010;Wien;;1011;Wien;320;Wien;01/26067;;meldewesen@generalibank.at;BGENATWWXXX;www.generalibank.at;16.05.2001;529900MTQXTM5IIGOI81
Hauptanstalt;127647;18600;KI;Aktienbanken;76096g;Volkskreditbank AG;Rudigierstr. 5-7;4020;Linz;;4010;Linz/Donau;116;Oberösterreich;0732/7637;;service@vkb-bank.at;VKBLAT2LXXX;www.vkb-bank.at;21.10.1872;529900990PPI3K3RDT23
Filiale;31238157;19001;ZW;§ 9 Institute;630983t;Trade Republic Bank GmbH, Branch Austria;Kärntner Ring 5-7;1010;Wien;;;;;Wien;491728111838;;target2@traderepublic.com;TRBKATW2XXX;https://traderepublic.com/de-at;;391200WIW9BI64SHLU69
Filiale;2673665;19100;ZW;§ 9 Institute;140266z;Deutsche Bank Aktiengesellschaft Filiale Wien;Fleischmarkt 1;1010;Wien;;1013;Wien;8;Wien;01/531810;;deutsche.bank@db.com;DEUTATWWXXX;www.db.com;23.08.1996;
Hauptanstalt;163201;19120;KI;Aktienbanken;76198g;bank99 AG;Praterstraße 31;1020;Wien;;;;;Wien;0800 099 099;;operations@bank99.at;SPBAATWWXXX;www.bank99.at;01.01.1884;529900RCLERIIXF4QM23
Hauptanstalt;279021;19140;KI;Aktienbanken;78445k;Bank Gutmann Aktiengesellschaft;Schwarzenbergpl. 16;1010;Wien;;1011;Wien;546;Wien;01/50220;;mail@gutmann.at;GUTBATWWXXX;https://gd.gutmann.at/de/home;18.06.1979;549300KFLI6V2PUY8522
Hauptanstalt;2773899;19150;KI;Aktienbanken;144838y;Kathrein Privatbank Aktiengesellschaft;Wipplingerstraße 25;1010;Wien;;;;;Wien;01/53451;;privatbank@kathrein.at;KTBKATWWXXX;www.kathrein.at;30.04.1996;529900TXPMGGJR19EY42
;5238315;19160;;Aktienbanken;84890p;Wiener Privatbank SE;Parkring 12;1010;Wien;;;;;Wien;01/53431;;office@wienerprivatbank.com;WIPBATWWXXX;www.wienerprivatbank.com;14.09.2001;529900VYY1MRNR59PN57
Hauptanstalt;1801139;19170;KI;Aktienbanken;90966z;PARTNER BANK AKTIENGESELLSCHAFT;Goethestr. 1a;4020;Linz;;;;;Oberösterreich;0732/6965;;info@partnerbank.at;PABAAT2LXXX;www.partnerbank.at;26.05.1992;529900GIW7IGDLAYP075
Hauptanstalt;1453750;19190;KI;Aktienbanken;58248i;Schelhammer Capital Bank AG;Goldschmiedgasse 3-5;1010;Wien;;1011;Wien;618;Wien;01/53434;;bank.office@schelhammer.at;BSSWATWWXXX;www.schelhammercapital.at;26.07.1990;52990010T57RAF234Z30
Hauptanstalt;55042;19200;KI;Aktienbanken;103232m;Schoellerbank Aktiengesellschaft;Renngasse 3;1010;Wien;;;;;Wien;01/53471-0;;info@schoellerbank.at;SCHOATWWXXX;https://www.schoellerbank.at;29.08.1979;529900ESWL1AEC189F69
;163201;19210;;Aktienbanken;76198g;bank99 AG;Praterstraße 31;1020;Wien;;;;;Wien;0800 099 099;;operations@bank99.at;SPBAATWWB99;www.bank99.at;01.01.1884;529900RCLERIIXF4QM23
